dates,AI.PA,ALV.DE,ABI.BR,MTS.MC,ASML.AS,G.MI,CS.PA,BBVA.MC,BBVA.MC,BAS.F,BAYN.DE,BMW.DE,BNP.PA,CA.PA,CRH.L,DAI.F,BN.PA,DBK.DE,DBK.DE,ENEL.MI,ENGI.PA,ENGI.PA,ENI.MI,EOAN.F,EI.PA,IBE.MC,ITX.MC,INGA.AS,ISP.MI,OR.PA,MC.PA,MUV2.DE,ORA.PA,PHIA.AS,REP.F,RWE.F,SGO.PA,SAN.PA,SAP.F,SU.PA,SIE.F,GLE.PA,TEF.MC,FP.PA,UL.AS,UCG.MI,UNA.AS,DG.PA,VIV.PA,VOW.F
1/2/2013,74.638283,82.327377,57.199638,26.732647,47.791496,11.934026,10.397949,5.468791,5.468791,61.031475,62.905918,63.710243,37.201092,17.534138,1123.634766,34.30172,44.462044,26.46003,26.46003,2.653761,11.485119,11.800037,14.064805,9.897656,72.335342,3.497206,18.816353,6.409326,1.11888,98.244057,127.31414,110.906319,6.788267,16.48373,13.749783,26.061844,29.290468,12.49905,57.287865,49.614738,68.388763,25.258949,7.713433,30.709946,151.566315,18.943161,24.771765,31.082993,12.543569,154.833633
1/3/2013,74.125206,82.099312,56.511711,26.910679,47.953438,11.909163,10.409242,5.437272,5.437272,60.70359,62.897186,63.441742,37.201092,17.670059,1108.746338,34.265327,43.996788,26.750477,26.750477,2.6342,11.575895,11.893304,14.027772,9.968626,71.961037,3.469383,92.532402,6.426929,1.116438,96.324875,126.418526,110.108719,6.757142,16.439602,13.684632,26.028027,29.11997,12.469062,57.011581,49.404694,68.542282,25.026247,7.698688,30.617767,148.139023,19.041641,24.818436,31.217987,12.324136,154.013336
1/4/2013,74.202995,82.251358,57.428944,26.703024,47.396175,11.909163,10.439361,5.492057,5.492057,60.712818,63.631386,63.601158,37.138329,18.003296,1106.119019,34.451328,43.891453,26.948025,26.948025,2.63746,11.615837,11.934341,14.079618,10.037482,71.792595,3.465169,91.757713,6.506143,1.124576,96.553345,127.045471,110.188484,6.789065,16.255068,13.766925,26.338957,29.207403,12.58401,56.946903,49.387192,68.478584,24.818928,7.717084,30.590878,150.15506,19.140022,24.945734,31.319229,12.090316,154.382004
1/7/2013,73.588867,81.871262,56.842945,26.663494,46.43882,11.900876,10.469477,5.5581,5.5581,60.251598,62.600002,63.559204,37.828636,17.665676,1097.361084,34.837887,43.53154,27.711006,27.711006,2.588558,11.39434,11.706773,13.887053,9.814261,70.342148,3.451679,17.783436,6.677775,1.142478,95.22818,125.522881,110.308121,6.715643,16.439602,13.698347,25.633802,28.918871,12.524037,56.308411,49.098373,68.185394,25.495884,7.694963,30.080004,146.526199,19.484455,24.712362,31.019707,11.820524,151.432632
1/8/2013,73.347862,81.377151,55.968174,26.505278,45.933949,12.000325,10.22101,5.591871,5.591871,59.638607,62.862217,61.427982,38.234451,17.626215,1069.335938,34.370457,43.650047,28.055689,28.055689,2.578778,11.48875,11.803768,13.953711,9.80324,71.21241,3.434817,18.179388,6.573915,1.141664,95.502357,124.851189,108.433754,6.695693,16.351347,13.774642,25.630503,28.114475,12.569015,56.170738,49.115879,67.776268,26.304003,7.672919,30.256691,145.558472,19.897717,24.763277,30.935337,11.950025,149.094315
1/9/2013,73.153488,79.894798,54.915058,25.852783,46.515034,12.025188,10.277481,5.778743,5.778743,59.870045,63.211838,60.546967,38.188427,17.143904,1072.839111,34.447289,43.549095,28.42749,28.42749,2.616269,11.48875,11.803768,14.190717,9.935563,71.305992,3.472756,18.170784,6.738505,1.170145,96.18779,123.642052,107.995079,6.982993,16.367395,13.964943,25.648649,28.040157,12.58401,56.549576,49.185898,68.062126,27.205202,7.974784,30.36809,143.340851,20.862091,24.669924,31.302357,11.95722,147.354172
1/10/2013,72.42276,79.742767,55.246277,25.803347,46.267353,12.066628,10.247363,5.832728,5.832728,59.456635,62.940891,61.159485,38.134048,16.836983,1079.845581,34.734375,43.821224,28.779907,28.779907,2.616269,11.274513,11.583659,14.249967,9.886637,70.650955,3.45758,18.144955,6.82124,1.204321,95.22818,122.343399,107.715935,6.988578,16.844776,14.108956,25.367409,27.900265,12.55902,57.468048,48.223179,68.266273,27.670609,8.022674,30.383455,142.332809,21.117964,24.525654,31.175798,12.014774,148.391083
1/11/2013,72.065094,80.274895,55.764343,25.842875,46.653149,12.058338,10.356537,5.87759,5.87759,59.580742,63.692589,61.436375,38.380878,16.80629,1081.597168,34.830608,43.540321,28.857344,28.857344,2.655391,11.194632,11.501586,14.316622,9.816997,70.473152,3.447463,90.853905,6.835323,1.213272,94.81694,123.462952,107.875435,6.967828,16.77257,14.243538,24.838753,27.734137,12.608997,56.660458,48.494492,68.347908,27.835615,8.066841,30.333519,141.324799,21.039219,24.394121,31.298141,11.996787,151.556137
1/14/2013,72.376053,80.578964,55.407635,25.229914,46.129227,11.685401,10.322656,5.88139,5.88139,60.130005,63.596428,61.436375,38.184254,16.762442,1082.4729,35.339283,43.206745,28.648241,28.648241,2.62116,11.205524,11.512777,14.190717,9.80324,70.781967,3.439874,17.946983,6.885491,1.198625,95.913612,122.701668,108.872444,7.078759,16.760532,14.124385,24.568235,27.843428,12.594003,56.457176,48.17942,68.16745,28.889128,8.114733,30.429544,142.937637,21.088409,24.254091,31.416269,11.870885,152.139557
1/15/2013,71.637527,80.350906,56.605137,25.457382,44.962299,11.58595,10.209716,5.847175,5.847175,60.461243,63.063248,60.815464,37.00864,16.573902,1064.081543,35.445221,43.746613,28.454605,28.454605,2.647241,11.111116,11.415781,14.301811,9.671621,70.566742,3.438189,18.024452,6.794836,1.217341,96.873215,124.492874,107.795677,7.014914,16.788614,14.237539,23.835039,27.415003,12.608997,54.134209,47.698067,68.089081,28.339106,8.092612,30.521729,143.260208,21.216345,24.58931,31.466885,11.726995,151.524796
1/16/2013,72.065094,78.71653,57.10622,25.328789,45.671982,11.436774,10.141953,5.907244,5.907244,60.581997,63.526505,61.335678,36.991905,16.942211,1071.087402,35.340088,43.847561,28.392639,28.392639,2.609749,11.049388,11.35236,14.301811,9.5511,71.146904,3.428915,17.981413,6.749948,1.192115,97.467255,125.836357,105.243355,6.93032,16.848789,14.380693,23.934834,27.672934,12.58401,54.636871,47.741825,67.86203,27.535217,8.026324,30.648495,143.582748,20.852272,24.818436,31.479542,11.899663,153.075073
1/17/2013,72.08844,78.982582,56.341862,25.447477,49.048916,11.668824,10.318892,5.911806,5.911806,61.425602,63.745022,62.141186,38.175884,17.976986,1085.10022,35.502632,43.935345,28.466164,28.466164,2.611379,11.147428,11.453088,14.42772,9.628243,71.296646,3.450836,18.153566,6.689216,1.212459,98.929482,127.358932,106.439766,7.117065,17.24995,14.548709,24.29772,27.843428,12.658973,53.731342,48.021885,67.760002,27.738304,8.063193,30.506369,142.010254,21.354099,24.585062,31.888748,11.946425,152.354324
1/18/2013,71.777466,78.94458,57.063759,25.852783,49.12513,11.610811,10.258657,5.908003,5.908003,61.527912,63.369179,61.528667,38.686287,17.731443,1094.733887,35.247086,43.724663,28.353874,28.353874,2.541286,11.111116,11.415781,14.286999,9.57658,70.828758,3.426385,18.187994,6.536068,1.226292,98.975174,126.68718,106.718925,7.186496,17.009256,14.484418,23.958752,27.231392,12.818895,53.643559,47.960625,67.750992,28.127556,8.000554,30.19907,142.090897,21.747723,24.631737,31.800158,12.00758,153.615173
